200, 185.35, 196.25
400, 370.54, 370.54
600, 476.34, 417.35
800, 370.54, 333.37
1000, 456.28, 300.31
1200, 474.32, 277.24
1400, 446.11, 237.87
1600, 443.2, 334.13
